"","manufacturer","model","year","average_price"
"1","acura","cl",1999,4494
"2","acura","cl",2001,4127.14285714286
"3","acura","cl",2003,7740.875
"4","acura","ilx",2013,12948.484375
"5","acura","ilx",2014,15874.4615384615
"6","acura","ilx",2015,14929.56
"7","acura","ilx",2016,16566.0344827586
"8","acura","ilx",2017,19000.9733333333
"9","acura","ilx",2018,22028.5392156863
"10","acura","ilx",2019,25396.5588235294
"11","acura","ilx",2020,25284
"12","acura","integra",1994,6800
"13","acura","integra",1999,5500
"14","acura","integra",2000,9500
"15","acura","integra",2001,4000
"16","acura","isx",2015,8900
"17","acura","legend",1994,4495
"18","acura","mdx",2001,4496.06666666667
"19","acura","mdx",2002,4491.66666666667
"20","acura","mdx",2003,5873.68
"21","acura","mdx",2004,5287.4
"22","acura","mdx",2005,5452.12903225806
"23","acura","mdx",2006,6292.57777777778
"24","acura","mdx",2007,8134.54098360656
"25","acura","mdx",2008,8853.64383561644
"26","acura","mdx",2009,9484.28813559322
"27","acura","mdx",2010,12027
"28","acura","mdx",2011,12152.2222222222
"29","acura","mdx",2012,14437.9615384615
"30","acura","mdx",2013,18512.2079207921
"31","acura","mdx",2014,22059.7959183673
"32","acura","mdx",2015,24320.0707070707
"33","acura","mdx",2016,25212.8695652174
"34","acura","mdx",2017,31774.6405228758
"35","acura","mdx",2018,33366.0798479087
"36","acura","mdx",2019,38539.362962963
"37","acura","mdx",2020,41969.785326087
"38","acura","mkx",2014,16995
"39","acura","rdx",2007,6867.61538461538
"40","acura","rdx",2008,7056.625
"41","acura","rdx",2009,8930.625
"42","acura","rdx",2010,8808.21428571429
"43","acura","rdx",2011,11531.4285714286
"44","acura","rdx",2012,15961.1739130435
"45","acura","rdx",2013,15786.4745762712
"46","acura","rdx",2014,15483.7941176471
"47","acura","rdx",2015,16747.2790697674
"48","acura","rdx",2016,21361.5625
"49","acura","rdx",2017,24674.8
"50","acura","rdx",2018,27179.8618181818
"51","acura","rdx",2019,35034.2372881356
"52","acura","rdx",2020,38757.1503267974
"53","acura","rdx",2021,37431
"54","acura","rl",1999,6425
"55","acura","rl",2000,3998.5
"56","acura","rl",2002,4400
"57","acura","rl",2003,4400
"58","acura","rl",2004,4627.14285714286
"59","acura","rl",2005,5433.04
"60","acura","rl",2006,6260.08333333333
"61","acura","rl",2007,7150
"62","acura","rl",2008,7610
"63","acura","rl",2009,9398.6
"64","acura","rl",2010,10166.6666666667
"65","acura","rl",2011,13323.3333333333
"66","acura","rl",2014,17578
"67","acura","rl",2015,21273.875
"68","acura","rl",2016,22307.5
"69","acura","rl",2017,29292.5
"70","acura","rl",2018,37456.5
"71","acura","rl",2019,38590
"72","acura","rl",2020,34998
"73","acura","rsx",2002,4879
"74","acura","rsx",2003,5297.5
"75","acura","rsx",2004,5887.22222222222
"76","acura","rsx",2005,7747.5
"77","acura","rsx",2006,7644.1
"78","acura","rsx",2007,3500
"79","acura","slx",1999,3850
"80","acura","tl",1996,4000
"81","acura","tl",1998,3500
"82","acura","tl",1999,4062.5
"83","acura","tl",2000,3750
"84","acura","tl",2001,3475
"85","acura","tl",2002,4634.64285714286
"86","acura","tl",2003,4779.84210526316
"87","acura","tl",2004,5981.45454545455
"88","acura","tl",2005,6311.28787878788
"89","acura","tl",2006,6448.82432432432
"90","acura","tl",2007,7118.15909090909
"91","acura","tl",2008,7047.59523809524
"92","acura","tl",2009,9256.875
"93","acura","tl",2010,10915.3823529412
"94","acura","tl",2011,10125.7647058824
"95","acura","tl",2012,14151.1678321678
"96","acura","tl",2013,16275.1805555556
"97","acura","tl",2014,15900.7666666667
"98","acura","tl",2015,19074.6769230769
"99","acura","tl",2016,19576.6578947368
"100","acura","tl",2017,22262.1538461538
"101","acura","tl",2018,27367.25
"102","acura","tl",2019,26913.2708333333
"103","acura","tl",2020,32713.8046875
"104","acura","tl",2021,46094.5
"105","acura","tsx",2004,4729.95
"106","acura","tsx",2005,5205.19047619048
"107","acura","tsx",2006,7280.21212121212
"108","acura","tsx",2007,7387.1875
"109","acura","tsx",2008,7925.42857142857
"110","acura","tsx",2009,8111.92857142857
"111","acura","tsx",2010,9995.84848484848
"112","acura","tsx",2011,12146.0677966102
"113","acura","tsx",2012,15385.859375
"114","acura","tsx",2013,13542.5483870968
"115","acura","tsx",2014,17742.9111111111
"116","acura","tsx",2015,14500
"117","acura","zdm",2010,3500
"118","acura","zdx",2010,12500
"119","acura","zdx",2011,15000
"120","audi","a",2005,3299
"121","audi","a",2016,20979
"122","audi","a-",2013,13995
"123","audi","a3",2006,5504.375
"124","audi","a3",2007,5973.66666666667
"125","audi","a3",2008,7243.75
"126","audi","a3",2009,7307.54545454545
